Date,Close,Open,High,Low,Change
1992-09-17,142.01,141.63,142.01,141.63,-0.0008
1992-09-18,142.38,142.02,142.38,142.02,0.0026
1992-09-21,142.34,141.93,142.34,141.93,-0.0003
1992-09-22,142.49,142.08,142.49,142.08,0.0011
1992-09-23,142.44,142.06,142.44,142.06,-0.0004
1992-09-24,142.46,142.08,142.46,142.08,0.0001
1992-09-25,142.62,142.24,142.62,142.24,0.0011
1992-09-28,142.78,142.41,142.78,142.41,0.0011
1992-09-29,142.78,142.41,142.78,142.41,0.0
1992-09-30,142.73,142.36,142.73,142.36,-0.0004
1992-10-01,142.68,142.31,142.68,142.31,-0.0004
1992-10-02,142.84,142.42,142.84,142.42,0.0011
1992-10-05,142.85,142.44,142.85,142.44,0.0001
1992-10-06,142.35,141.98,142.35,141.98,-0.0034999999999999996
1992-10-07,141.88,141.51,141.88,141.51,-0.0033
1992-10-08,141.81,141.45,141.81,141.45,-0.0005
1992-10-09,141.63,141.23,141.63,141.23,-0.0013
1992-10-12,141.62,141.25,141.62,141.25,-0.0001
1992-10-13,141.44,141.07,141.44,141.07,-0.0013
1992-10-14,141.39,141.02,141.39,141.02,-0.0004
1992-10-15,141.32,140.95,141.32,140.95,-0.0005
1992-10-16,141.3,140.93,141.3,140.93,-0.0001
1992-10-19,141.17,140.8,141.17,140.8,-0.0009
1992-10-20,140.97,140.6,140.97,140.6,-0.0014000000000000002
1992-10-21,141.14,140.76,141.14,140.76,0.0012
1992-10-22,141.0,140.6,141.0,140.6,-0.001
1992-10-23,140.96,140.6,140.96,140.6,-0.0003
1992-10-26,141.16,140.78,141.16,140.78,0.0014000000000000002
1992-10-27,140.91,140.52,140.91,140.52,-0.0018
1992-10-28,140.84,140.48,140.84,140.48,-0.0005
1992-10-29,140.79,140.39,140.79,140.39,-0.0004
1992-10-30,140.9,140.54,140.9,140.54,0.0008
1992-11-02,140.81,140.44,140.81,140.44,-0.0006
1992-11-03,140.53,140.17,140.53,140.17,-0.002
1992-11-04,140.56,140.17,140.56,140.17,0.0002
1992-11-05,140.53,140.17,140.53,140.17,-0.0002
1992-11-06,140.56,140.17,140.56,140.17,0.0002
1992-11-09,140.62,140.26,140.62,140.26,0.0004
1992-11-10,140.16,139.79,140.16,139.79,-0.0033
1992-11-11,140.15,139.79,140.15,139.79,-0.0001
1992-11-12,140.15,139.79,140.15,139.79,0.0
1992-11-13,140.45,140.08,140.45,140.08,0.0021
1992-11-16,140.89,140.51,140.89,140.51,0.0031
1992-11-17,140.95,140.57,140.95,140.57,0.0004
1992-11-18,140.93,140.57,140.93,140.57,-0.0001
1992-11-19,140.28,139.92,140.28,139.92,-0.0046
1992-11-20,139.19,138.79,139.19,138.79,-0.0078000000000000005
1992-11-23,139.12,138.7,139.12,138.7,-0.0005
1992-11-24,138.34,137.92,138.34,137.92,-0.005600000000000001
1992-11-25,138.3,137.92,138.3,137.92,-0.0003
1992-11-26,138.38,138.0,138.38,138.0,0.0006
1992-11-27,137.85,137.47,137.85,137.47,-0.0038
1992-11-30,137.24,136.88,137.24,136.88,-0.0044
1992-12-01,136.87,136.5,136.87,136.5,-0.0027
1992-12-02,136.85,136.5,136.85,136.5,-0.0001
1992-12-03,136.87,136.52,136.87,136.52,0.0001
1992-12-04,135.94,135.58,135.94,135.58,-0.0068000000000000005
1992-12-07,136.31,135.93,136.31,135.93,0.0027
1992-12-08,135.5,135.15,135.5,135.15,-0.0059
1992-12-09,135.37,134.94,135.37,134.94,-0.001
1992-12-10,135.06,134.67,135.06,134.67,-0.0023
1992-12-11,135.22,134.86,135.22,134.86,0.0012
1992-12-14,135.34,134.98,135.34,134.98,0.0009
1992-12-15,134.07,133.73,134.07,133.73,-0.009399999999999999
1992-12-16,134.0,133.66,134.0,133.66,-0.0005
1992-12-17,134.16,133.76,134.16,133.76,0.0012
1992-12-18,134.99,134.59,134.99,134.59,0.0062
1992-12-21,136.0,135.64,136.0,135.64,0.0075
1992-12-22,136.53,136.17,136.53,136.17,0.0039000000000000003
1992-12-23,136.52,136.17,136.52,136.17,-0.0001
1992-12-24,137.16,136.8,137.16,136.8,0.004699999999999999
1992-12-25,137.16,136.8,137.16,136.8,0.0
1992-12-28,137.26,136.9,137.26,136.9,0.0007000000000000001
1992-12-29,137.15,136.8,137.15,136.8,-0.0008
1992-12-30,137.08,136.71,137.08,136.71,-0.0005
1992-12-31,136.77,136.4,136.77,136.4,-0.0023
1993-01-04,137.21,136.85,137.21,136.85,0.0032
1993-01-05,137.42,137.02,137.42,137.02,0.0015
1993-01-06,137.44,137.05,137.44,137.05,0.0001
1993-01-07,137.48,137.12,137.48,137.12,0.0003
1993-01-08,137.55,137.16,137.55,137.16,0.0005
1993-01-11,137.33,136.91,137.33,136.91,-0.0016
1993-01-12,137.41,137.04,137.41,137.04,0.0006
1993-01-13,137.63,137.24,137.63,137.24,0.0016
1993-01-14,137.59,137.23,137.59,137.23,-0.0003
1993-01-15,137.69,137.26,137.69,137.26,0.0007000000000000001
1993-01-18,137.38,137.0,137.38,137.0,-0.0023
1993-01-19,137.34,136.97,137.34,136.97,-0.0003
1993-01-20,137.48,137.09,137.48,137.09,0.001
1993-01-21,137.43,137.03,137.43,137.03,-0.0004
1993-01-22,137.43,137.03,137.43,137.03,0.0
1993-01-25,137.55,137.15,137.55,137.15,0.0009
1993-01-26,137.55,137.16,137.55,137.16,0.0
1993-01-27,137.16,136.78,137.16,136.78,-0.0028000000000000004
